time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,-0.2,-3.1,2.9,0.0,,,16.4,,1031.2,
2023-01-02,-3.9,-6.1,-2.1,0.0,,,16.7,,1033.0,
2023-01-03,-5.0,-10.1,-1.1,0.0,,,7.2,,1031.1,
2023-01-04,-2.3,-7.1,2.9,0.0,,,6.0,,1030.7,
2023-01-05,-2.9,-6.1,0.9,0.0,,,5.0,,1031.1,
2023-01-06,0.1,-5.1,4.9,2.8,,,12.2,,1022.7,
2023-01-07,1.8,-1.1,3.9,0.1,,,15.8,,1019.2,
2023-01-08,0.6,-5.1,3.9,0.0,,,7.7,,1024.7,
2023-01-09,2.7,-1.1,4.9,0.0,,,15.4,,1024.9,
2023-01-10,-0.3,-4.1,4.9,0.0,,,7.7,,1029.0,
2023-01-11,0.1,-4.1,5.9,0.0,,,5.2,,1026.3,
2023-01-12,4.1,-2.1,11.9,0.0,,,9.4,,1022.3,
2023-01-13,6.4,3.9,8.9,34.1,,,8.9,,1011.2,
2023-01-14,4.5,2.9,5.9,3.0,,,10.8,,1013.7,
2023-01-15,-1.2,-3.1,2.9,1.7,,,19.7,,1018.5,
2023-01-16,-4.9,-7.1,-3.1,0.0,,,16.7,,1025.6,
2023-01-17,-3.3,-6.1,-1.1,0.1,,,7.3,,1027.1,
2023-01-18,-2.6,-5.1,-0.1,0.0,,,7.7,,1026.7,
2023-01-19,0.2,-6.1,4.9,0.5,,,14.6,,1023.2,
2023-01-20,-2.2,-7.1,3.9,0.0,,,25.9,,1027.4,
2023-01-21,-4.9,-9.1,-1.1,0.0,,,9.3,,1030.9,
2023-01-22,0.1,-2.1,2.9,0.1,,,8.7,,1026.3,
2023-01-23,-1.0,-7.1,2.9,0.0,,,16.5,,1024.1,
2023-01-24,-13.2,-15.1,-8.1,0.0,,,32.9,,1030.3,
2023-01-25,-11.4,-15.1,-6.1,0.0,,,12.0,,1031.4,
2023-01-26,-5.3,-7.1,-4.1,2.0,,,12.5,,1024.2,
2023-01-27,-6.6,-8.1,-5.1,0.0,,,29.3,,1023.8,
2023-01-28,-5.3,-10.1,-1.1,0.0,,,15.4,,1022.9,
2023-01-29,-1.3,-6.1,4.9,0.0,,,17.1,,1019.2,
2023-01-30,-0.6,-4.1,2.9,0.0,,,10.3,,1023.4,
2023-01-31,2.0,-3.1,6.9,0.0,,,17.8,,1018.0,
2023-02-01,-0.1,-2.1,3.9,0.0,,,18.0,,1019.8,
2023-02-02,-2.8,-5.1,-0.1,0.0,,,17.0,,1027.8,
2023-02-03,-2.3,-4.1,0.9,0.0,,,9.5,,1024.4,
2023-02-04,-0.6,-5.1,3.9,0.0,,,8.8,,1025.4,
2023-02-05,1.0,-3.1,5.9,0.0,,,10.4,,1025.0,
2023-02-06,1.2,-3.1,6.9,0.0,,,6.2,,1022.7,
2023-02-07,1.5,-2.1,5.9,0.0,,,8.3,,1022.0,
2023-02-08,0.9,-3.1,4.9,0.0,,,13.3,,1026.7,
2023-02-09,3.3,-3.1,8.9,0.1,,,10.1,,1027.2,
2023-02-10,3.2,-0.1,5.9,1.6,,,12.3,,1021.3,
2023-02-11,0.6,-3.1,4.9,0.0,,,5.9,,1023.7,
2023-02-12,2.1,-2.1,5.9,0.0,,,8.3,,1022.5,
2023-02-13,4.5,0.9,7.9,0.0,,,17.1,,1018.9,
2023-02-14,0.3,-2.1,2.9,0.0,,,19.1,,1023.2,
2023-02-15,1.1,-2.1,5.9,0.0,,,14.0,,1028.7,
2023-02-16,1.5,-1.1,3.9,0.0,,,8.5,,1030.6,
2023-02-17,1.8,-2.1,6.9,0.0,,,6.8,,1027.9,
2023-02-18,3.7,0.9,5.9,0.0,,,9.2,,1020.7,
